ID,F0semitoneFrom27.5Hz_sma3nz_amean,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,F0semitoneFrom27.5Hz_sma3nz_percentile50.0,loudness_sma3_amean,loudness_sma3_stddevNorm,loudness_sma3_percentile50.0,spectralFlux_sma3_amean,spectralFlux_sma3_stddevNorm,HNRdBACF_sma3nz_amean,HNRdBACF_sma3nz_stddevNorm,alphaRatioV_sma3nz_amean,alphaRatioV_sma3nz_stddevNorm,MeanUnvoicedSegmentLength,StddevUnvoicedSegmentLength,self-esteem
322,34.356384,0.075715825,34.746826,0.2972337,0.47828823,0.22027665,0.124649584,0.8708651,9.27089,0.268364,-23.006266,-0.25932786,0.6035897,1.2880665,26
324,33.579018,0.052530993,33.63665,0.4515011,0.35904565,0.42930183,0.19211073,0.42176205,6.454732,0.37878975,-17.482449,-0.3384626,0.34815788,0.45517698,30
325,33.57096,0.1116392,34.80455,0.5203438,0.2857221,0.5106973,0.28344947,0.4061202,7.05432,0.37809622,-20.353065,-0.28644243,0.176,0.19315659,23
327,34.258503,0.0959068,34.534668,0.46834204,0.40642512,0.4560885,0.20508212,0.56657207,7.37116,0.36437455,-16.74323,-0.40202498,0.20153846,0.20269568,32
328,36.808186,0.07102653,36.959343,0.46891943,0.38794804,0.45762107,0.21601887,0.57411736,9.317807,0.28453615,-21.153824,-0.30190265,0.18582089,0.2941476,32
329,36.414623,0.08206501,36.872017,0.3899736,0.3731743,0.3847481,0.14270268,0.4775039,7.6880274,0.35347834,-17.75247,-0.37085807,0.21790123,0.38167503,28
330,35.693848,0.088693805,35.550922,0.67726445,0.37831607,0.6685851,0.35468155,0.5015651,6.624359,0.39649677,-15.53272,-0.4428374,0.1862857,0.207191,33
332,35.649277,0.11713531,35.96132,0.5301447,0.35418406,0.5012901,0.21978761,0.5173603,7.1902227,0.36721653,-17.273388,-0.36895347,0.13129032,0.1328956,31
336,34.52792,0.06623783,34.126476,0.75993675,0.500069,0.72123384,0.39795586,0.63801557,7.348644,0.37747857,-15.829362,-0.47238323,0.1471134,0.23762554,30
337,35.90996,0.054077156,35.90925,0.6300306,0.523281,0.598567,0.3015062,0.6604289,8.101176,0.34511316,-16.32655,-0.39525583,0.30037734,0.62875724,34
339,31.937809,0.16278188,34.044754,0.41213205,0.26443776,0.4058181,0.18666857,0.40264332,6.305135,0.47289342,-20.086472,-0.31600985,0.2678022,0.2974795,28
340,33.10759,0.06611091,33.447334,0.83804977,0.41846347,0.7726583,0.4087798,0.4966295,5.4912953,0.4815766,-11.197371,-0.5537327,0.16863246,0.2025011,33
341,36.13687,0.070973545,35.83558,0.5770399,0.4173404,0.5553934,0.30901584,0.55559844,7.514859,0.34467423,-17.908596,-0.40530977,0.11782609,0.1730784,28
342,36.157764,0.065982655,35.677773,0.7714312,0.4822324,0.7699566,0.42696318,0.66102844,7.266163,0.39605707,-14.269692,-0.5108976,0.17370786,0.3778543,28
343,33.853012,0.1054579,33.224403,0.6061217,0.4651102,0.5812394,0.27626523,0.6130087,6.1996827,0.4279967,-13.793254,-0.46638194,0.17072727,0.29343328,40
